,ID,O_LON,O_LAT,CLUSTER_LABEL
504,504,116.366032,39.945707,cluster16
505,505,116.386139,39.868694,cluster13
507,507,116.46738,39.98347,cluster6
508,508,116.36411,39.98624,cluster1
513,513,116.37299,39.95555,cluster16
515,515,116.38832,39.96369,cluster10
516,516,116.31969,39.89005,cluster2
519,519,116.41014,39.9678,cluster10
526,526,116.303986,39.890026,cluster2
531,531,116.334223,39.989347,cluster29
533,533,116.380633,39.858366,cluster13
534,534,116.382195,39.859329,cluster13
538,538,116.42989,39.90273,cluster17
539,539,116.42472,39.98167,cluster3
540,540,116.427216,39.892216,cluster17
543,543,116.409134,39.89534,cluster17
546,546,116.46476,39.9813,cluster6
547,547,116.346649,39.88826,cluster23
549,549,116.36817,39.876913,cluster20
552,552,116.37199,39.86267,cluster13
553,553,116.43945,39.95553,cluster4
554,554,116.46086,39.92827,cluster0
556,556,116.42145,39.903316,cluster17
562,562,116.425629,39.892235,cluster17
563,563,116.31604,39.895187,cluster2
567,567,116.44421,39.95892,cluster4
569,569,116.42828,39.93915,cluster4
578,578,116.313583,39.895432,cluster2
581,581,116.379866,39.9672,cluster5
586,586,116.421,39.90615,cluster17
589,589,116.45752,39.995758,cluster21
597,597,116.380616,39.85295,cluster13
598,598,116.43352,39.98258,cluster3
599,599,116.43001,39.93938,cluster4
602,602,116.43668,39.97314,cluster4
605,605,116.33139,39.8917,cluster27
615,615,116.36967,39.86369,cluster13
616,616,116.368966,39.9314,cluster31
618,618,116.445225,39.965875,cluster4
620,620,116.363887,39.96477,cluster5
621,621,116.48308,39.99154,cluster28
622,622,116.4616,39.99688,cluster21
625,625,116.34872,39.9389,cluster15
626,626,116.41962,39.9353,cluster4
627,627,116.43821,39.94481,cluster4
628,628,116.338953,39.888092,cluster27
634,634,116.36625,39.94971,cluster16
637,637,116.407738,39.913288,cluster7
639,639,116.31304,39.89625,cluster2
640,640,116.36778,39.86398,cluster13
641,641,116.414605,39.900483,cluster17
642,642,116.467,39.997416,cluster21
646,646,116.43123,39.939978,cluster4
647,647,116.420708,39.8993,cluster17
653,653,116.3682,39.87656,cluster20
657,657,116.45675,39.9782,cluster6
658,658,116.44681,39.96713,cluster4
659,659,116.348533,39.9753,cluster1
660,660,116.36383,39.9663,cluster5
662,662,116.230016,39.89935,cluster30
664,664,116.4374,39.9715,cluster4
671,671,116.339958,39.935894,cluster15
673,673,116.36226,39.96626,cluster5
678,678,116.33289,39.891225,cluster27
682,682,116.287952,39.8613,cluster24
684,684,116.4284,39.926316,cluster19
689,689,116.47161,39.90515,cluster14
694,694,116.364002,39.966262,cluster5
699,699,116.42269,39.97151,cluster10
702,702,116.31025,39.88612,cluster2
705,705,116.33032,39.97525,cluster18
707,707,116.43487,39.93236,cluster4
713,713,116.44002,39.92279,cluster19
714,714,116.31358,39.89498,cluster2
717,717,116.43957,39.9551,cluster4
721,721,116.44265,39.963416,cluster4
