O_LON,O_LAT
116.37423,39.99567
116.461601,39.969536
116.4248,39.88557
116.267895,39.769725
116.22058,40.22557
116.347466,39.985766
116.40745,39.87097
116.330283,39.9497
116.44615,39.874793
116.3146,39.8934
116.34009,39.90429
116.4397,39.93513
116.3107,39.979343
116.643925,39.88648
116.51121,39.92856
116.50013,39.8547
116.337416,39.785116
116.3683,39.96641
116.366715,39.933044
116.355202,39.980404
116.29892,39.9377
116.28824,39.86506
116.447708,39.989387
116.304157,39.881797
116.363516,39.9778
116.4209,39.906216
116.311722,39.895596
116.302033,39.926883
116.51112,39.94469
116.45129,39.96504
116.35945,39.9729
116.41554,39.85643
116.51115,39.939416
116.36229,39.89959
116.45402,39.99961
116.504585,39.899052
116.343315,39.92569
116.64122,39.91114
116.40835,39.837066
116.5011,40.00579
116.20032,39.89255
116.36784,39.87729
116.475627,39.929877
116.37619,39.921322
116.43371,39.93491
116.290082,40.041752
116.24662,39.902685
116.36762,39.98583
116.29484,39.938983
116.409516,39.939616
116.43834,39.89596
116.275703,40.020496
116.43981,39.94862
116.33274,39.96929
116.38264,39.86776
116.303328,39.954522
116.353966,39.980324
116.5532,39.923
116.382216,39.868816
116.34315,39.92567
116.422533,39.982033
116.191368,39.926724
116.36385,40.00825
116.349516,39.936
116.47236,40.00238
116.613616,40.155116
116.40032,39.91665
116.4216,39.93219
116.45104,39.98855
116.310776,39.76931
116.40725,39.863966
116.56742,39.91975
116.452016,39.892016
116.35255,39.948683
116.522,39.88112
116.4972,39.914766
116.394035,39.852924
116.440041,39.879383
116.404693,39.85551
116.35876,39.9939
116.305293,39.89639
116.4403,39.87783
116.394983,39.869516
116.323891,39.888844
116.6377,39.88412
116.51797,39.9538
116.32088,39.96619
116.52396,39.93014
116.29076,39.88827
116.467327,39.914732
116.43079,39.92788
116.31572,39.890308
116.254273,40.076958
116.345967,40.005837
116.232567,39.902073
116.237129,39.928314
116.48374,39.96619
116.353401,39.847904
116.395216,39.9502
116.328232,39.975304
116.328966,39.904633
116.30995,39.883616
116.4295,39.93985
116.418216,39.976066
116.372902,39.952324
116.253905,39.919332
116.439148,39.954796
116.39505,39.836833
116.695316,39.8731
116.27468,39.9165
116.4128,39.891166
116.17431,39.84044
116.38586,39.74889
116.584266,39.92455
116.460865,39.931457
116.16325,39.931616
116.402582,39.928557
116.35073,39.93121
116.453,39.7339
116.245071,39.902638
116.23091,39.84149
116.32223,39.89462
116.363983,39.98055
116.434245,39.9255
116.38057,39.85517
116.33685,39.82145
116.357643,39.877041
116.46963,39.82828
116.458733,39.891033
116.389332,39.85555
116.414733,39.875483
116.38042,39.8479
116.610928,40.053187
116.415031,39.882542
116.35134,40.02917
116.416065,39.87214
116.49584,39.92611
116.313408,39.887272
116.41891,39.97133
116.361977,39.933345
116.348705,39.999595
116.46085,39.93044
116.30433,39.91046
116.32659,39.99089
116.43568,39.86447
116.715616,39.852083
116.273166,39.87295
116.58938,40.05302
116.365066,39.953683
116.43673,39.975622
116.471069,39.907211
116.24975,40.06469
116.347343,39.915867
116.424892,39.885768
116.42748,39.9373
116.563393,40.116067
116.55984,40.00246
116.40488,39.91712
116.340727,39.879503
116.19147,39.92714
116.39155,39.790766
116.449808,39.922142
116.38269,39.96685
116.258583,39.870792
116.289012,39.994795
116.34958,39.9392
116.43174,39.94064
116.46246,39.94671
116.295097,39.944378
116.440183,39.948616
116.45528,39.8935
116.38071,39.85374
116.58552,39.82146
116.376223,39.87745
116.38795,39.85747
116.472343,40.001057
116.36657,39.93758
116.33236,39.96993
116.285729,39.781357
116.372866,39.931483
116.25348,39.97556
116.44356,39.93227
116.394577,39.997536
116.41104,39.92929
116.185829,39.92881
116.378218,39.861815
116.34767,39.97639
116.221416,39.889966
116.15918,39.77132
116.55776,39.92309
116.46337,39.908312
116.69717,39.72999
116.391435,39.889893
116.48324,39.93012
116.41307,39.98067
116.35952,40.007983
116.454908,39.891917
116.408025,39.851582
116.182398,39.788052
116.434883,39.91425
116.458443,40.01933
116.471687,39.907856
116.33941,39.83096
116.420733,39.9112
116.290382,39.918369
116.516216,39.907466
116.162437,39.92498
116.41035,39.946445
116.471983,39.921148
116.2154,39.84325
116.44297,39.97328
116.28962,40.04295
116.43007,39.89397
116.52037,39.85622
116.4754,39.965833
116.315872,39.883158
116.355033,39.961142
116.45855,39.906782
116.431566,39.999033
116.358813,39.838797
116.421628,39.903435
116.411417,39.918293
116.295242,39.975143
116.40156,39.88679
116.380915,39.832492
116.3766,39.86699
116.462677,39.978992
116.60708,39.92298
116.260397,40.115207
116.20674,40.27177
116.510216,39.836016
116.288122,39.84916
116.30365,39.90773
116.299452,39.879573
116.29939,39.87954
116.47826,39.91397
116.342232,39.828838
116.439633,39.9256
116.358734,39.980419
116.24098,40.20139
116.507132,39.924422
116.37868,39.97101
116.263283,39.879833
116.47216,39.92961
116.40495,39.965733
116.334015,39.993273
116.37883,39.887756
116.38613,39.85549
116.37111,39.94836
116.560355,39.799323
116.607216,40.050133
116.555945,40.015802
116.21341,39.97043
116.44921,39.95882
116.493874,39.861782
116.39253,39.7912
116.63283,39.877348
116.338993,39.912283
116.34648,39.99655
116.479843,39.914023
116.365183,39.864333
116.304598,40.07658
116.33594,39.867285
116.36781,39.90617
116.523025,40.012653
116.35945,39.974917
116.6513,40.1111
116.23598,39.85483
116.437233,39.953783
116.488466,39.932716
116.460526,39.97892
116.18265,39.9213
116.387462,39.951363
116.28995,39.91777
116.38082,39.83249
116.5196,39.91599
116.358818,39.846958
116.338554,39.909241
116.202332,39.81868
116.258666,39.89255
116.4203,39.93976
116.43676,39.97299
116.32221,39.89586
116.36495,39.865433
116.38165,39.869166
116.3323,39.74127
116.38212,39.95002
116.496783,39.97085
116.30031,40.08128
116.247033,39.887766
116.33049,39.94931
116.69719,39.83084
116.344828,39.912665
116.386533,39.932
116.430666,39.9325
116.41808,39.98377
116.492116,39.909916
116.45057,39.98153
116.39793,39.98871
116.41159,40.02547
116.394212,39.844665
116.331227,39.826315
116.34995,39.941383
116.39285,39.87977
116.427166,40.0441
116.483966,40.005033
116.313716,39.894466
116.48372,39.94394
116.286466,39.780416
116.334068,39.886967
116.44202,39.96079
116.41478,39.99241
116.346932,39.970753
116.401416,39.97515
116.284248,39.888042
116.50066,40.00569
116.454666,39.87445
116.434936,39.939756
116.30854,39.86715
116.35418,39.97831
116.29414,39.91463
116.612167,39.828262
116.451248,39.872299
116.31815,40.050072
116.3586,39.85715
116.38586,39.85551
116.347273,39.87139
116.300064,39.974476
116.368166,39.882133
116.319801,39.923374
116.325163,39.86656
116.47576,40.01286
116.288796,39.877377
116.440916,39.832566
116.35937,39.85436
116.28948,39.86422
116.28553,39.83881
116.29523,39.97251
116.42645,39.97595
116.477699,39.994652
116.44921,39.86195
116.425755,39.926045
116.43223,39.93109
116.342941,39.946804
116.265701,39.896729
116.300368,39.92261
116.63352,39.925027
116.29773,39.974266
116.52668,40.01856
116.49527,39.91175
116.33708,39.90599
116.424988,39.935113
116.3635,39.96691
116.43451,40.0218
116.394342,40.06615
116.536018,40.034458
116.45005,39.87805
116.33017,40.029572
116.5321,40.05387
116.40303,39.90687
116.31902,39.97504
116.428023,39.880242
116.483468,39.9792
116.366249,40.035809
116.48145,39.95713
116.304765,39.883243
116.46123,40.00556
116.318733,39.945273
116.46416,39.97655
116.32777,39.991567
116.301064,39.829224
116.438183,39.906316
116.37554,39.98091
116.458316,40.019966
116.53508,39.95464
116.41163,39.9144
116.41071,40.02537
116.35867,39.99667
116.225597,39.883883
116.22515,39.880166
116.36765,39.995466
116.46535,39.98719
116.54905,39.822116
116.41827,39.97863
116.38642,39.869827
116.291481,39.959389
116.29343,39.88532
116.307877,39.788845
116.38937,39.96182
116.3503,39.90385
116.515976,40.077293
116.288102,39.778415
116.278473,39.886761
116.302062,39.926853
116.60112,39.82823
116.38526,39.86388
116.49728,39.80197
116.574852,39.693089
116.421683,39.9034
116.29311,39.95794
116.598351,39.924133
116.37405,39.94848
116.45189,40.00419
116.469848,39.907248
116.56104,39.95578
116.35012,39.94891
116.46418,39.99147
116.47203,39.92344
116.40042,39.91438
116.35252,39.99997
116.31343,39.89504
116.282547,39.918255
115.879637,39.573582
116.389513,39.884933
116.471265,39.867733
116.4534,39.947616
116.28635,39.8085
116.22626,39.88929
116.31137,39.94481
116.519866,39.908216
116.34706,39.89706
